county,candidate,votes,district,party,office
Union,Anthony Core,8429,83.0,R,State Representative
Union,Stacy Roberts,3345,83.0,D,State Representative
Van Wert,James Hoops,7578,75.0,R,State Representative
Vinton,Clyde Evans,2000,87.0,R,State Representative
Vinton,Fred Deel,1776,87.0,D,State Representative
Warren,Michelle Schneider,13834,35.0,R,State Representative
Washington,Nancy Hollister,8362,93.0,R,State Representative
Washington,William Moore,4719,93.0,D,State Representative
Washington,Jimmy Stewart,3655,92.0,R,State Representative
Washington,James Pancake,1835,92.0,D,State Representative
Williams,Stephen Buehrer,8985,74.0,R,State Representative
Wyandot,Steve Reinhard,4460,82.0,R,State Representative
Wyandot,Steven Chaffin,1724,82.0,D,State Representative
Ashland,Bill Harris,2550,19.0,R,State Senate
Ashland,Jack Campbell,1233,19.0,D,State Senate
Auglaize,Lynn Wachtmann,2916,1.0,R,State Senate
Auglaize,William Flanary,1280,1.0,D,State Senate
Carroll,Robert Hagan,4308,33.0,D,State Senate
Carroll,Holly Hanni,4063,33.0,R,State Senate
Clinton,John Carey Jr.,6861,17.0,R,State Senate
Clinton,Michael Shoemaker,3350,17.0,D,State Senate
Darke,Mike Osgood,3975,5.0,R,State Senate
Darke,Tom Roberts,1466,5.0,D,State Senate
Defiance,Lynn Wachtmann,6297,1.0,R,State Senate
Defiance,William Flanary,4417,1.0,D,State Senate
Delaware,Bill Harris,26427,19.0,R,State Senate
Delaware,Jack Campbell,10586,19.0,D,State Senate
Fairfield,Jay Hottinger,30411,31.0,R,State Senate
Fayette,John Carey Jr.,4026,17.0,R,State Senate
Fayette,Michael Shoemaker,2520,17.0,D,State Senate
Fulton,Lynn Wachtmann,8524,1.0,R,State Senate
Fulton,William Flanary,4083,1.0,D,State Senate
Gallia,John Carey Jr.,6170,17.0,R,State Senate
Gallia,Michael Shoemaker,3372,17.0,D,State Senate
Hamilton,Robert Schuler,40528,7.0,R,State Senate
Hamilton,Tony Fischer,17907,7.0,D,State Senate
Hancock,Lynn Wachtmann,14409,1.0,R,State Senate
Hancock,William Flanary,5407,1.0,D,State Senate
Hardin,Lynn Wachtmann,5002,1.0,R,State Senate
Hardin,William Flanary,3045,1.0,D,State Senate
Henry,Lynn Wachtmann,6203,1.0,R,State Senate
Henry,William Flanary,2913,1.0,D,State Senate
Highland,John Carey Jr.,6360,17.0,R,State Senate
Highland,Michael Shoemaker,4638,17.0,D,State Senate
Hocking,Jay Hottinger,5031,31.0,R,State Senate
Huron,Jeffry Armbruster,9121,13.0,R,State Senate
Huron,Sue Morano,5773,13.0,D,State Senate
Jackson,John Carey Jr.,6350,17.0,R,State Senate
Jackson,Michael Shoemaker,2929,17.0,D,State Senate
Knox,Bill Harris,9777,19.0,R,State Senate
Knox,Jack Campbell,3897,19.0,D,State Senate
Lawrence,John Carey Jr.,4851,17.0,R,State Senate
Lawrence,Michael Shoemaker,2788,17.0,D,State Senate
Licking,Jay Hottinger,37923,31.0,R,State Senate
Lorain,Sue Morano,40610,13.0,D,State Senate
Lorain,Jeffry Armbruster,36978,13.0,R,State Senate
Mahoning,Robert Hagan,58702,33.0,D,State Senate
Mahoning,Holly Hanni,23910,33.0,R,State Senate
Miami,Mike Osgood,19935,5.0,R,State Senate
Miami,Tom Roberts,9257,5.0,D,State Senate
Montgomery,Tom Roberts,34689,5.0,D,State Senate
Montgomery,Mike Osgood,17249,5.0,R,State Senate
Morrow,Bill Harris,5827,19.0,R,State Senate
Morrow,Jack Campbell,3325,19.0,D,State Senate
Paulding,Lynn Wachtmann,3666,1.0,R,State Senate
Paulding,William Flanary,2538,1.0,D,State Senate
Perry,Jay Hottinger,6341,31.0,R,State Senate
Pickaway,Jay Hottinger,4068,31.0,R,State Senate
Pickaway,John Carey Jr.,2857,17.0,R,State Senate
Pickaway,Michael Shoemaker,2658,17.0,D,State Senate
Pike,Michael Shoemaker,5107,17.0,D,State Senate
Pike,John Carey Jr.,2777,17.0,R,State Senate
Putnam,Lynn Wachtmann,9228,1.0,R,State Senate
Putnam,William Flanary,3256,1.0,D,State Senate
Richland,Bill Harris,23334,19.0,R,State Senate
Richland,Jack Campbell,13535,19.0,D,State Senate
Ross,Michael Shoemaker,12422,17.0,D,State Senate
Ross,John Carey Jr.,6217,17.0,R,State Senate
Seneca,Jeffry Armbruster,1758,13.0,R,State Senate
Seneca,Sue Morano,1102,13.0,D,State Senate
Stark,Robert Hagan,5755,33.0,D,State Senate
Stark,Holly Hanni,4277,33.0,R,State Senate
Tuscarawas,Robert Hagan,2704,33.0,D,State Senate
Tuscarawas,Holly Hanni,1321,33.0,R,State Senate
Van Wert,Lynn Wachtmann,6673,1.0,R,State Senate
Van Wert,William Flanary,2424,1.0,D,State Senate
Vinton,John Carey Jr.,2124,17.0,R,State Senate
Vinton,Michael Shoemaker,1817,17.0,D,State Senate
Warren,Robert Schuler,34787,7.0,R,State Senate
Warren,Tony Fischer,12325,7.0,D,State Senate
Williams,Lynn Wachtmann,7228,1.0,R,State Senate
Williams,William Flanary,3740,1.0,D,State Senate
Adams,Joseph Deters,4295,,R,Treasurer of State
Adams,Mary Boyle,2494,,D,Treasurer of State
Adams,Robert Martin,0,,WI,Treasurer of State
Allen,Joseph Deters,19716,,R,Treasurer of State
Allen,Mary Boyle,9481,,D,Treasurer of State
Allen,Robert Martin,0,,WI,Treasurer of State
Ashland,Joseph Deters,9326,,R,Treasurer of State
Ashland,Mary Boyle,5247,,D,Treasurer of State
Ashland,Robert Martin,0,,WI,Treasurer of State
Ashtabula,Mary Boyle,14407,,D,Treasurer of State
Ashtabula,Joseph Deters,12143,,R,Treasurer of State
Ashtabula,Robert Martin,0,,WI,Treasurer of State
Athens,Mary Boyle,9638,,D,Treasurer of State
Athens,Joseph Deters,6042,,R,Treasurer of State
Athens,Robert Martin,0,,WI,Treasurer of State
Auglaize,Joseph Deters,8903,,R,Treasurer of State
Auglaize,Mary Boyle,4291,,D,Treasurer of State
Auglaize,Robert Martin,0,,WI,Treasurer of State
Belmont,Mary Boyle,12779,,D,Treasurer of State
Belmont,Joseph Deters,7346,,R,Treasurer of State
Belmont,Robert Martin,0,,WI,Treasurer of State
Brown,Joseph Deters,7318,,R,Treasurer of State
Brown,Mary Boyle,4045,,D,Treasurer of State
Brown,Robert Martin,0,,WI,Treasurer of State
Butler,Joseph Deters,60170,,R,Treasurer of State
Butler,Mary Boyle,25749,,D,Treasurer of State
Butler,Robert Martin,0,,WI,Treasurer of State
Carroll,Joseph Deters,4582,,R,Treasurer of State
Carroll,Mary Boyle,3932,,D,Treasurer of State
Carroll,Robert Martin,0,,WI,Treasurer of State
Champaign,Joseph Deters,6693,,R,Treasurer of State
Champaign,Mary Boyle,3754,,D,Treasurer of State
Champaign,Robert Martin,0,,WI,Treasurer of State
Clark,Joseph Deters,21435,,R,Treasurer of State
Clark,Mary Boyle,16470,,D,Treasurer of State
Clark,Robert Martin,1,,WI,Treasurer of State
Clermont,Joseph Deters,31668,,R,Treasurer of State
Clermont,Mary Boyle,11351,,D,Treasurer of State
Clermont,Robert Martin,0,,WI,Treasurer of State
Clinton,Joseph Deters,7165,,R,Treasurer of State
Clinton,Mary Boyle,3067,,D,Treasurer of State
Clinton,Robert Martin,0,,WI,Treasurer of State
Columbiana,Joseph Deters,15365,,R,Treasurer of State
Columbiana,Mary Boyle,14564,,D,Treasurer of State
Columbiana,Robert Martin,0,,WI,Treasurer of State
Coshocton,Joseph Deters,5607,,R,Treasurer of State
Coshocton,Mary Boyle,4286,,D,Treasurer of State
Coshocton,Robert Martin,0,,WI,Treasurer of State
Crawford,Joseph Deters,7592,,R,Treasurer of State
Crawford,Mary Boyle,5365,,D,Treasurer of State
Crawford,Robert Martin,0,,WI,Treasurer of State
Cuyahoga,Mary Boyle,233262,,D,Treasurer of State
Cuyahoga,Joseph Deters,129082,,R,Treasurer of State
Cuyahoga,Robert Martin,6,,WI,Treasurer of State
Darke,Joseph Deters,11140,,R,Treasurer of State
Darke,Mary Boyle,5807,,D,Treasurer of State
Darke,Robert Martin,0,,WI,Treasurer of State
Defiance,Joseph Deters,6100,,R,Treasurer of State
Defiance,Mary Boyle,4337,,D,Treasurer of State
Defiance,Robert Martin,0,,WI,Treasurer of State
Delaware,Joseph Deters,27019,,R,Treasurer of State
Delaware,Mary Boyle,11251,,D,Treasurer of State
Delaware,Robert Martin,0,,WI,Treasurer of State
Erie,Mary Boyle,12745,,D,Treasurer of State
Erie,Joseph Deters,11359,,R,Treasurer of State
Erie,Robert Martin,1,,WI,Treasurer of State
Fairfield,Joseph Deters,24393,,R,Treasurer of State
Fairfield,Mary Boyle,13526,,D,Treasurer of State
Fairfield,Robert Martin,0,,WI,Treasurer of State
Fayette,Joseph Deters,4376,,R,Treasurer of State
Fayette,Mary Boyle,2060,,D,Treasurer of State
Fayette,Robert Martin,0,,WI,Treasurer of State
Franklin,Joseph Deters,145722,,R,Treasurer of State
Franklin,Mary Boyle,121953,,D,Treasurer of State
Franklin,Robert Martin,1,,WI,Treasurer of State
Fulton,Joseph Deters,8031,,R,Treasurer of State
Fulton,Mary Boyle,4546,,D,Treasurer of State
Fulton,Robert Martin,0,,WI,Treasurer of State
Gallia,Joseph Deters,5070,,R,Treasurer of State
Gallia,Mary Boyle,3810,,D,Treasurer of State
Gallia,Robert Martin,0,,WI,Treasurer of State
Geauga,Joseph Deters,17824,,R,Treasurer of State
Geauga,Mary Boyle,12690,,D,Treasurer of State
Geauga,Robert Martin,5,,WI,Treasurer of State
Greene,Joseph Deters,26763,,R,Treasurer of State
Greene,Mary Boyle,15380,,D,Treasurer of State
Greene,Robert Martin,0,,WI,Treasurer of State
Guernsey,Joseph Deters,5526,,R,Treasurer of State
Guernsey,Mary Boyle,4997,,D,Treasurer of State
Guernsey,Robert Martin,0,,WI,Treasurer of State
Hamilton,Joseph Deters,158180,,R,Treasurer of State
Hamilton,Mary Boyle,86444,,D,Treasurer of State
Hamilton,Robert Martin,1,,WI,Treasurer of State
Hancock,Joseph Deters,14361,,R,Treasurer of State
Hancock,Mary Boyle,5543,,D,Treasurer of State
Hancock,Robert Martin,4,,WI,Treasurer of State
Hardin,Joseph Deters,4829,,R,Treasurer of State
Hardin,Mary Boyle,3210,,D,Treasurer of State
Hardin,Robert Martin,1,,WI,Treasurer of State
Harrison,Mary Boyle,3335,,D,Treasurer of State
Harrison,Joseph Deters,2225,,R,Treasurer of State
Harrison,Robert Martin,0,,WI,Treasurer of State
Henry,Joseph Deters,5804,,R,Treasurer of State
Henry,Mary Boyle,3043,,D,Treasurer of State
Henry,Robert Martin,0,,WI,Treasurer of State
Highland,Joseph Deters,7222,,R,Treasurer of State
Highland,Mary Boyle,3661,,D,Treasurer of State
Highland,Robert Martin,0,,WI,Treasurer of State
Hocking,Joseph Deters,3846,,R,Treasurer of State
Hocking,Mary Boyle,3594,,D,Treasurer of State
Hocking,Robert Martin,0,,WI,Treasurer of State
Holmes,Joseph Deters,4005,,R,Treasurer of State
Holmes,Mary Boyle,1873,,D,Treasurer of State
Holmes,Robert Martin,0,,WI,Treasurer of State
Huron,Joseph Deters,8307,,R,Treasurer of State
Huron,Mary Boyle,6312,,D,Treasurer of State
Huron,Robert Martin,0,,WI,Treasurer of State
Jackson,Joseph Deters,4970,,R,Treasurer of State
Jackson,Mary Boyle,3594,,D,Treasurer of State
Jackson,Robert Martin,0,,WI,Treasurer of State
Jefferson,Mary Boyle,13543,,D,Treasurer of State
Jefferson,Joseph Deters,9055,,R,Treasurer of State
Jefferson,Robert Martin,1,,WI,Treasurer of State
Knox,Joseph Deters,8730,,R,Treasurer of State
Knox,Mary Boyle,4971,,D,Treasurer of State
Knox,Robert Martin,0,,WI,Treasurer of State
Lake,Joseph Deters,31114,,R,Treasurer of State
Lake,Mary Boyle,30546,,D,Treasurer of State
Lake,Robert Martin,3,,WI,Treasurer of State
Lawrence,Joseph Deters,7850,,R,Treasurer of State
Lawrence,Mary Boyle,7132,,D,Treasurer of State
Lawrence,Robert Martin,0,,WI,Treasurer of State
Licking,Joseph Deters,28501,,R,Treasurer of State
Licking,Mary Boyle,17721,,D,Treasurer of State
Licking,Robert Martin,1,,WI,Treasurer of State
Logan,Joseph Deters,8447,,R,Treasurer of State
Logan,Mary Boyle,3899,,D,Treasurer of State
Logan,Robert Martin,0,,WI,Treasurer of State
Lorain,Mary Boyle,42999,,D,Treasurer of State
Lorain,Joseph Deters,32303,,R,Treasurer of State
Lorain,Robert Martin,0,,WI,Treasurer of State
Lucas,Mary Boyle,65365,,D,Treasurer of State
Lucas,Joseph Deters,52607,,R,Treasurer of State
Lucas,Robert Martin,4,,WI,Treasurer of State
Madison,Joseph Deters,6933,,R,Treasurer of State
Madison,Mary Boyle,3359,,D,Treasurer of State
Madison,Robert Martin,0,,WI,Treasurer of State
Mahoning,Mary Boyle,47412,,D,Treasurer of State
Mahoning,Joseph Deters,33954,,R,Treasurer of State
Mahoning,Robert Martin,69,,WI,Treasurer of State
Marion,Joseph Deters,10246,,R,Treasurer of State
Marion,Mary Boyle,6866,,D,Treasurer of State
Marion,Robert Martin,0,,WI,Treasurer of State
Medina,Joseph Deters,25191,,R,Treasurer of State
Medina,Mary Boyle,19889,,D,Treasurer of State
Medina,Robert Martin,1,,WI,Treasurer of State
Meigs,Joseph Deters,3616,,R,Treasurer of State
Meigs,Mary Boyle,2866,,D,Treasurer of State
Meigs,Robert Martin,0,,WI,Treasurer of State
Mercer,Joseph Deters,8850,,R,Treasurer of State
Mercer,Mary Boyle,5297,,D,Treasurer of State
Mercer,Robert Martin,0,,WI,Treasurer of State
Miami,Joseph Deters,19426,,R,Treasurer of State
Miami,Mary Boyle,9631,,D,Treasurer of State
Miami,Robert Martin,0,,WI,Treasurer of State
Monroe,Mary Boyle,3211,,D,Treasurer of State
Monroe,Joseph Deters,1670,,R,Treasurer of State
Monroe,Robert Martin,0,,WI,Treasurer of State
Montgomery,Joseph Deters,83777,,R,Treasurer of State
Montgomery,Mary Boyle,73720,,D,Treasurer of State
Montgomery,Robert Martin,0,,WI,Treasurer of State
Morgan,Joseph Deters,2726,,R,Treasurer of State
Morgan,Mary Boyle,1737,,D,Treasurer of State
Morgan,Robert Martin,0,,WI,Treasurer of State
Morrow,Joseph Deters,5814,,R,Treasurer of State
Morrow,Mary Boyle,3580,,D,Treasurer of State
Morrow,Robert Martin,1,,WI,Treasurer of State
Muskingum,Joseph Deters,13466,,R,Treasurer of State
Muskingum,Mary Boyle,8521,,D,Treasurer of State
Muskingum,Robert Martin,0,,WI,Treasurer of State
Noble,Joseph Deters,2101,,R,Treasurer of State
Noble,Mary Boyle,2028,,D,Treasurer of State
Noble,Robert Martin,0,,WI,Treasurer of State
Ottawa,Joseph Deters,7566,,R,Treasurer of State
Ottawa,Mary Boyle,6875,,D,Treasurer of State
Ottawa,Robert Martin,1,,WI,Treasurer of State
Paulding,Joseph Deters,3276,,R,Treasurer of State
Paulding,Mary Boyle,2705,,D,Treasurer of State
Paulding,Robert Martin,0,,WI,Treasurer of State
Perry,Joseph Deters,4647,,R,Treasurer of State
Perry,Mary Boyle,4223,,D,Treasurer of State
Perry,Robert Martin,0,,WI,Treasurer of State
Pickaway,Joseph Deters,7303,,R,Treasurer of State
Pickaway,Mary Boyle,4129,,D,Treasurer of State
Pickaway,Robert Martin,0,,WI,Treasurer of State
Pike,Mary Boyle,4224,,D,Treasurer of State
Pike,Joseph Deters,3382,,R,Treasurer of State
Pike,Robert Martin,0,,WI,Treasurer of State
Portage,Mary Boyle,22419,,D,Treasurer of State
Portage,Joseph Deters,17687,,R,Treasurer of State
Portage,Robert Martin,2,,WI,Treasurer of State
Preble,Joseph Deters,7422,,R,Treasurer of State
Preble,Mary Boyle,3894,,D,Treasurer of State
Preble,Robert Martin,0,,WI,Treasurer of State
Putnam,Joseph Deters,8398,,R,Treasurer of State
Putnam,Mary Boyle,3531,,D,Treasurer of State
Putnam,Robert Martin,0,,WI,Treasurer of State
Richland,Joseph Deters,19844,,R,Treasurer of State
Richland,Mary Boyle,16771,,D,Treasurer of State
Richland,Robert Martin,0,,WI,Treasurer of State
Ross,Joseph Deters,9503,,R,Treasurer of State
Ross,Mary Boyle,8003,,D,Treasurer of State
Ross,Robert Martin,0,,WI,Treasurer of State
Sandusky,Joseph Deters,10383,,R,Treasurer of State
Sandusky,Mary Boyle,7930,,D,Treasurer of State
Sandusky,Robert Martin,0,,WI,Treasurer of State
Scioto,Mary Boyle,11582,,D,Treasurer of State
Scioto,Joseph Deters,9848,,R,Treasurer of State
Scioto,Robert Martin,0,,WI,Treasurer of State
Seneca,Joseph Deters,9320,,R,Treasurer of State
Seneca,Mary Boyle,6851,,D,Treasurer of State
Seneca,Robert Martin,0,,WI,Treasurer of State
Shelby,Joseph Deters,8856,,R,Treasurer of State
Shelby,Mary Boyle,5440,,D,Treasurer of State
Shelby,Robert Martin,0,,WI,Treasurer of State
Stark,Joseph Deters,55497,,R,Treasurer of State
Stark,Mary Boyle,55167,,D,Treasurer of State
Stark,Robert Martin,0,,WI,Treasurer of State
Summit,Mary Boyle,87147,,D,Treasurer of State
Summit,Joseph Deters,65668,,R,Treasurer of State
Summit,Robert Martin,2,,WI,Treasurer of State
Trumbull,Mary Boyle,40150,,D,Treasurer of State
Trumbull,Joseph Deters,28584,,R,Treasurer of State
Trumbull,Robert Martin,0,,WI,Treasurer of State
Tuscarawas,Mary Boyle,13732,,D,Treasurer of State
Tuscarawas,Joseph Deters,10537,,R,Treasurer of State
Tuscarawas,Robert Martin,0,,WI,Treasurer of State
Union,Joseph Deters,8494,,R,Treasurer of State
Union,Mary Boyle,3461,,D,Treasurer of State
Union,Robert Martin,1,,WI,Treasurer of State
Van Wert,Joseph Deters,5863,,R,Treasurer of State
Van Wert,Mary Boyle,2991,,D,Treasurer of State
Van Wert,Robert Martin,0,,WI,Treasurer of State
Vinton,Joseph Deters,1853,,R,Treasurer of State
Vinton,Mary Boyle,1764,,D,Treasurer of State
Vinton,Robert Martin,0,,WI,Treasurer of State
Warren,Joseph Deters,36524,,R,Treasurer of State
Warren,Mary Boyle,12154,,D,Treasurer of State
Warren,Robert Martin,0,,WI,Treasurer of State
Washington,Joseph Deters,9302,,R,Treasurer of State
Washington,Mary Boyle,8022,,D,Treasurer of State
Washington,Robert Martin,0,,WI,Treasurer of State
Wayne,Joseph Deters,17750,,R,Treasurer of State
Wayne,Mary Boyle,11638,,D,Treasurer of State
Wayne,Robert Martin,0,,WI,Treasurer of State
Williams,Joseph Deters,6781,,R,Treasurer of State
Williams,Mary Boyle,4006,,D,Treasurer of State
Williams,Robert Martin,0,,WI,Treasurer of State
Wood,Joseph Deters,20723,,R,Treasurer of State
Wood,Mary Boyle,15894,,D,Treasurer of State
Wood,Robert Martin,2,,WI,Treasurer of State
Wyandot,Joseph Deters,3936,,R,Treasurer of State
Wyandot,Mary Boyle,2224,,D,Treasurer of State
Wyandot,Robert Martin,0,,WI,Treasurer of State
Adams,Rob Portman,4938,2.0,R,US Representative
Adams,Charles Sanders,2033,2.0,D,US Representative
Adams,James Condit Jr.,0,2.0,WI,US Representative
Allen,Michael Oxley,19872,4.0,R,US Representative
Allen,Jim Clark,9956,4.0,D,US Representative
Ashland,Ralph Regula,8174,16.0,R,US Representative
Ashland,Jim Rice,3170,16.0,D,US Representative
Ashland,Paul Gillmor,1892,5.0,R,US Representative
Ashland,Roger Anderson,1118,5.0,D,US Representative
Ashland,John Green,293,5.0,,US Representative
Ashtabula,Steven LaTourette,17901,14.0,R,US Representative
Ashtabula,Dale Blanchard,9438,14.0,D,US Representative
Ashtabula,Sid Stone,16,14.0,WI,US Representative
Athens,Ted Strickland,8227,6.0,D,US Representative
Athens,Mike Halleck,3292,6.0,R,US Representative
Athens,Bob Ney,2611,18.0,R,US Representative
Auglaize,Michael Oxley,9933,4.0,R,US Representative
Auglaize,Jim Clark,3752,4.0,D,US Representative
Belmont,Ted Strickland,11582,6.0,D,US Representative
Belmont,Mike Halleck,4878,6.0,R,US Representative
Belmont,Bob Ney,3821,18.0,R,US Representative
Brown,Rob Portman,8651,2.0,R,US Representative
Brown,Charles Sanders,3052,2.0,D,US Representative
Brown,James Condit Jr.,0,2.0,WI,US Representative
Butler,John Boehner,56928,8.0,R,US Representative
Butler,Jeff Hardenbrook,22071,8.0,D,US Representative
Butler,Steve Chabot,6195,1.0,R,US Representative
Butler,Greg Harris,1881,1.0,D,US Representative
Carroll,Bob Ney,6831,18.0,R,US Representative
Champaign,Michael Oxley,6488,4.0,R,US Representative
Champaign,Jim Clark,3811,4.0,D,US Representative
Clark,Dave Hobson,26093,7.0,R,US Representative
Clark,Kara Anastasio,10915,7.0,D,US Representative
Clark,Frank Doden,2023,7.0,,US Representative
Clermont,Rob Portman,34058,2.0,R,US Representative
Clermont,Charles Sanders,9142,2.0,D,US Representative
Clermont,James Condit Jr.,6,2.0,WI,US Representative
Clinton,Michael Turner,7028,3.0,R,US Representative
Clinton,Rick Carne,3190,3.0,D,US Representative
Clinton,Ronald Williamitis,2,3.0,WI,US Representative
Columbiana,Ted Strickland,15503,6.0,D,US Representative
Columbiana,Mike Halleck,15415,6.0,R,US Representative
Coshocton,Bob Ney,8373,18.0,R,US Representative
Crawford,Paul Gillmor,8574,5.0,R,US Representative
Crawford,Roger Anderson,3660,5.0,D,US Representative
Crawford,John Green,813,5.0,,US Representative
Cuyahoga,Sherrod Brown,17932,13.0,D,US Representative
Cuyahoga,Ed Oliveros,12153,13.0,R,US Representative
Cuyahoga,Steven LaTourette,11738,14.0,R,US Representative
Cuyahoga,Dale Blanchard,4276,14.0,D,US Representative
Cuyahoga,Sid Stone,1,14.0,WI,US Representative
Darke,John Boehner,13368,8.0,R,US Representative
Darke,Jeff Hardenbrook,4228,8.0,D,US Representative
Defiance,Paul Gillmor,7093,5.0,R,US Representative
Defiance,Roger Anderson,3071,5.0,D,US Representative
Defiance,John Green,536,5.0,,US Representative
Delaware,Pat Tiberi,30397,12.0,R,US Representative
Delaware,Edward Brown,8784,12.0,D,US Representative
Erie,Marcy Kaptur,14116,9.0,D,US Representative
Erie,Ed Emery,9472,9.0,R,US Representative
Fairfield,Dave Hobson,27338,7.0,R,US Representative
Fairfield,Kara Anastasio,8900,7.0,D,US Representative
Fairfield,Frank Doden,1759,7.0,,US Representative
Fayette,Dave Hobson,4979,7.0,R,US Representative
Fayette,Kara Anastasio,1292,7.0,D,US Representative
Fayette,Frank Doden,270,7.0,,US Representative
Franklin,Deborah Pryce,91242,15.0,R,US Representative
Franklin,Pat Tiberi,64214,12.0,R,US Representative
Franklin,Mark Brown,48742,15.0,D,US Representative
Franklin,Edward Brown,47315,12.0,D,US Representative
Franklin,Dave Hobson,9807,7.0,R,US Representative
Franklin,Kara Anastasio,7625,7.0,D,US Representative
Franklin,Frank Doden,1268,7.0,,US Representative
Fulton,Paul Gillmor,8791,5.0,R,US Representative
Fulton,Roger Anderson,3283,5.0,D,US Representative
Fulton,John Green,716,5.0,,US Representative
Gallia,Ted Strickland,5653,6.0,D,US Representative
Gallia,Mike Halleck,3832,6.0,R,US Representative
Geauga,Steven LaTourette,23730,14.0,R,US Representative
Geauga,Dale Blanchard,7274,14.0,D,US Representative
Geauga,Sid Stone,25,14.0,WI,US Representative
Greene,Dave Hobson,30821,7.0,R,US Representative
Greene,Kara Anastasio,9969,7.0,D,US Representative
Greene,Frank Doden,2214,7.0,,US Representative
Guernsey,Bob Ney,9072,18.0,R,US Representative
Hamilton,Steve Chabot,104565,1.0,R,US Representative
Hamilton,Rob Portman,63037,2.0,R,US Representative
Hamilton,Greg Harris,58287,1.0,D,US Representative
Hamilton,Charles Sanders,20198,2.0,D,US Representative
Hamilton,James Condit Jr.,7,2.0,WI,US Representative
Hancock,Michael Oxley,14729,4.0,R,US Representative
Hancock,Jim Clark,5787,4.0,D,US Representative
Hardin,Michael Oxley,5412,4.0,R,US Representative
Hardin,Jim Clark,2994,4.0,D,US Representative
Harrison,Bob Ney,4710,18.0,R,US Representative
Henry,Paul Gillmor,6813,5.0,R,US Representative
Henry,Roger Anderson,1877,5.0,D,US Representative
Henry,John Green,482,5.0,,US Representative
Highland,Michael Turner,6816,3.0,R,US Representative
Highland,Rick Carne,4007,3.0,D,US Representative
Highland,Ronald Williamitis,0,3.0,WI,US Representative
Hocking,Bob Ney,4801,18.0,R,US Representative
Holmes,Bob Ney,4875,18.0,R,US Representative
Huron,Paul Gillmor,10317,5.0,R,US Representative
Huron,Roger Anderson,3927,5.0,D,US Representative
Huron,John Green,709,5.0,,US Representative
Jackson,Bob Ney,5802,18.0,R,US Representative
Jefferson,Ted Strickland,14661,6.0,D,US Representative
Jefferson,Mike Halleck,8806,6.0,R,US Representative
Knox,Bob Ney,9551,18.0,R,US Representative
Lake,Steven LaTourette,50721,14.0,R,US Representative
Lake,Dale Blanchard,14485,14.0,D,US Representative
Lake,Sid Stone,65,14.0,WI,US Representative
Lawrence,Ted Strickland,9253,6.0,D,US Representative
Lawrence,Mike Halleck,6548,6.0,R,US Representative
Licking,Pat Tiberi,22371,12.0,R,US Representative
Licking,Bob Ney,11787,18.0,R,US Representative
Licking,Edward Brown,8608,12.0,D,US Representative
Logan,Michael Oxley,9330,4.0,R,US Representative
Logan,Jim Clark,3186,4.0,D,US Representative
Lorain,Sherrod Brown,41165,13.0,D,US Representative
Lorain,Ed Oliveros,14822,13.0,R,US Representative
Lorain,Marcy Kaptur,12040,9.0,D,US Representative
Lorain,Ed Emery,8777,9.0,R,US Representative
Lucas,Marcy Kaptur,96410,9.0,D,US Representative
Lucas,Ed Emery,23230,9.0,R,US Representative
Lucas,Paul Gillmor,3536,5.0,R,US Representative
Lucas,Roger Anderson,1698,5.0,D,US Representative
Lucas,John Green,391,5.0,,US Representative
Madison,Deborah Pryce,7848,15.0,R,US Representative
Madison,Mark Brown,2615,15.0,D,US Representative
Mahoning,Timothy Ryan,24235,17.0,D,US Representative
Mahoning,Ted Strickland,20818,6.0,D,US Representative
Mahoning,Mike Halleck,18194,6.0,R,US Representative
Mahoning,Ann Womer Benjamin,13057,17.0,R,US Representative
Mahoning,James Traficant Jr.,9838,17.0,,US Representative
Marion,Michael Oxley,11407,4.0,R,US Representative
Marion,Jim Clark,6074,4.0,D,US Representative
Medina,Ralph Regula,20692,16.0,R,US Representative
Medina,Jim Rice,10311,16.0,D,US Representative
Medina,Sherrod Brown,9556,13.0,D,US Representative
Medina,Ed Oliveros,4543,13.0,R,US Representative
Meigs,Ted Strickland,4151,6.0,D,US Representative
Meigs,Mike Halleck,2948,6.0,R,US Representative
Mercer,John Boehner,8969,8.0,R,US Representative
Mercer,Paul Gillmor,2536,5.0,R,US Representative
Mercer,Jeff Hardenbrook,2422,8.0,D,US Representative
Mercer,Roger Anderson,884,5.0,D,US Representative
Mercer,John Green,222,5.0,,US Representative
Miami,John Boehner,21133,8.0,R,US Representative
Miami,Jeff Hardenbrook,8486,8.0,D,US Representative
Monroe,Ted Strickland,3716,6.0,D,US Representative
Monroe,Mike Halleck,1445,6.0,R,US Representative
Montgomery,Michael Turner,78533,3.0,R,US Representative
Montgomery,Rick Carne,64407,3.0,D,US Representative
Montgomery,John Boehner,11358,8.0,R,US Representative
Montgomery,Jeff Hardenbrook,8946,8.0,D,US Representative
Montgomery,Ronald Williamitis,10,3.0,WI,US Representative
Morgan,Bob Ney,3677,18.0,R,US Representative
Morrow,Michael Oxley,6303,4.0,R,US Representative
Morrow,Jim Clark,3163,4.0,D,US Representative
Muskingum,Bob Ney,18631,18.0,R,US Representative
Noble,Ted Strickland,2210,6.0,D,US Representative
Noble,Mike Halleck,2090,6.0,R,US Representative
Ottawa,Marcy Kaptur,9670,9.0,D,US Representative
Ottawa,Ed Emery,5002,9.0,R,US Representative
