county,candidate,party,office,district,votes
Lorain,Josh Mandel,Republican,U.S. Senate,,53332
Lorain,Scott Rupert,Independent,U.S. Senate,,6415
Lucas,Sherrod Brown,Democratic,U.S. Senate,,131887
Lucas,Josh Mandel,Republican,U.S. Senate,,65067
Lucas,Scott Rupert,Independent,U.S. Senate,,8452
Madison,Josh Mandel,Republican,U.S. Senate,,9379
Madison,Sherrod Brown,Democratic,U.S. Senate,,6518
Madison,Scott Rupert,Independent,U.S. Senate,,1005
Mahoning,Sherrod Brown,Democratic,U.S. Senate,,76182
Mahoning,Josh Mandel,Republican,U.S. Senate,,33480
Mahoning,Scott Rupert,Independent,U.S. Senate,,5104
Marion,Josh Mandel,Republican,U.S. Senate,,13656
Marion,Sherrod Brown,Democratic,U.S. Senate,,11376
Marion,Scott Rupert,Independent,U.S. Senate,,1985
Medina,Josh Mandel,Republican,U.S. Senate,,45176
Medina,Sherrod Brown,Democratic,U.S. Senate,,39008
Medina,Scott Rupert,Independent,U.S. Senate,,4562
Meigs,Josh Mandel,Republican,U.S. Senate,,5175
Meigs,Sherrod Brown,Democratic,U.S. Senate,,4132
Meigs,Scott Rupert,Independent,U.S. Senate,,584
Mercer,Josh Mandel,Republican,U.S. Senate,,15743
Mercer,Sherrod Brown,Democratic,U.S. Senate,,4736
Mercer,Scott Rupert,Independent,U.S. Senate,,849
Miami,Josh Mandel,Republican,U.S. Senate,,32866
Miami,Sherrod Brown,Democratic,U.S. Senate,,15968
Miami,Scott Rupert,Independent,U.S. Senate,,2156
Monroe,Sherrod Brown,Democratic,U.S. Senate,,3274
Monroe,Josh Mandel,Republican,U.S. Senate,,3114
Monroe,Scott Rupert,Independent,U.S. Senate,,292
Montgomery,Sherrod Brown,Democratic,U.S. Senate,,135210
Montgomery,Josh Mandel,Republican,U.S. Senate,,116345
Montgomery,Scott Rupert,Independent,U.S. Senate,,9615
Morgan,Josh Mandel,Republican,U.S. Senate,,3065
Morgan,Sherrod Brown,Democratic,U.S. Senate,,2625
Morgan,Scott Rupert,Independent,U.S. Senate,,337
Morrow,Josh Mandel,Republican,U.S. Senate,,9414
Morrow,Sherrod Brown,Democratic,U.S. Senate,,5511
Morrow,Scott Rupert,Independent,U.S. Senate,,1111
Muskingum,Josh Mandel,Republican,U.S. Senate,,18748
Muskingum,Sherrod Brown,Democratic,U.S. Senate,,15592
Muskingum,Scott Rupert,Independent,U.S. Senate,,2257
Noble,Josh Mandel,Republican,U.S. Senate,,3311
Noble,Sherrod Brown,Democratic,U.S. Senate,,2127
Noble,Scott Rupert,Independent,U.S. Senate,,362
Ottawa,Sherrod Brown,Democratic,U.S. Senate,,11291
Ottawa,Josh Mandel,Republican,U.S. Senate,,9872
Ottawa,Scott Rupert,Independent,U.S. Senate,,1115
Paulding,Josh Mandel,Republican,U.S. Senate,,5147
Paulding,Sherrod Brown,Democratic,U.S. Senate,,3277
Paulding,Scott Rupert,Independent,U.S. Senate,,528
Perry,Josh Mandel,Republican,U.S. Senate,,7240
Perry,Sherrod Brown,Democratic,U.S. Senate,,6734
Perry,Scott Rupert,Independent,U.S. Senate,,897
Pickaway,Josh Mandel,Republican,U.S. Senate,,13177
Pickaway,Sherrod Brown,Democratic,U.S. Senate,,9344
Pickaway,Scott Rupert,Independent,U.S. Senate,,1337
Pike,Sherrod Brown,Democratic,U.S. Senate,,5751
Pike,Josh Mandel,Republican,U.S. Senate,,5117
Pike,Scott Rupert,Independent,U.S. Senate,,561
Portage,Sherrod Brown,Democratic,U.S. Senate,,37144
Portage,Josh Mandel,Republican,U.S. Senate,,32531
Portage,Scott Rupert,Independent,U.S. Senate,,4506
Preble,Josh Mandel,Republican,U.S. Senate,,12820
Preble,Sherrod Brown,Democratic,U.S. Senate,,6045
Preble,Scott Rupert,Independent,U.S. Senate,,1076
Putnam,Josh Mandel,Republican,U.S. Senate,,12899
Putnam,Sherrod Brown,Democratic,U.S. Senate,,4584
Putnam,Scott Rupert,Independent,U.S. Senate,,722
Richland,Josh Mandel,Republican,U.S. Senate,,30696
Richland,Sherrod Brown,Democratic,U.S. Senate,,23758
Richland,Scott Rupert,Independent,U.S. Senate,,2742
Ross,Sherrod Brown,Democratic,U.S. Senate,,14147
Ross,Josh Mandel,Republican,U.S. Senate,,14059
Ross,Scott Rupert,Independent,U.S. Senate,,1629
Sandusky,Sherrod Brown,Democratic,U.S. Senate,,13606
Sandusky,Josh Mandel,Republican,U.S. Senate,,13280
Sandusky,Scott Rupert,Independent,U.S. Senate,,1770
Scioto,Sherrod Brown,Democratic,U.S. Senate,,15116
Scioto,Josh Mandel,Republican,U.S. Senate,,12958
Scioto,Scott Rupert,Independent,U.S. Senate,,1329
Seneca,Josh Mandel,Republican,U.S. Senate,,12802
Seneca,Sherrod Brown,Democratic,U.S. Senate,,10525
Seneca,Scott Rupert,Independent,U.S. Senate,,1703
Shelby,Josh Mandel,Republican,U.S. Senate,,16087
Shelby,Sherrod Brown,Democratic,U.S. Senate,,6045
Shelby,Scott Rupert,Independent,U.S. Senate,,1107
Stark,Sherrod Brown,Democratic,U.S. Senate,,87493
Stark,Josh Mandel,Republican,U.S. Senate,,78708
Stark,Scott Rupert,Independent,U.S. Senate,,10926
Summit,Sherrod Brown,Democratic,U.S. Senate,,151198
Summit,Josh Mandel,Republican,U.S. Senate,,98442
Summit,Scott Rupert,Independent,U.S. Senate,,12541
Trumbull,Sherrod Brown,Democratic,U.S. Senate,,62386
Trumbull,Josh Mandel,Republican,U.S. Senate,,32066
Trumbull,Scott Rupert,Independent,U.S. Senate,,5195
Tuscarawas,Josh Mandel,Republican,U.S. Senate,,19946
Tuscarawas,Sherrod Brown,Democratic,U.S. Senate,,17940
Tuscarawas,Scott Rupert,Independent,U.S. Senate,,2598
Union,Josh Mandel,Republican,U.S. Senate,,15553
Union,Sherrod Brown,Democratic,U.S. Senate,,8144
Union,Scott Rupert,Independent,U.S. Senate,,1369
Van Wert,Josh Mandel,Republican,U.S. Senate,,9401
Van Wert,Sherrod Brown,Democratic,U.S. Senate,,3630
Van Wert,Scott Rupert,Independent,U.S. Senate,,598
Vinton,Josh Mandel,Republican,U.S. Senate,,2679
Vinton,Sherrod Brown,Democratic,U.S. Senate,,2414
Vinton,Scott Rupert,Independent,U.S. Senate,,304
Warren,Josh Mandel,Republican,U.S. Senate,,70755
Warren,Sherrod Brown,Democratic,U.S. Senate,,33787
Warren,Scott Rupert,Independent,U.S. Senate,,4528
Washington,Josh Mandel,Republican,U.S. Senate,,15904
Washington,Sherrod Brown,Democratic,U.S. Senate,,11464
Washington,Scott Rupert,Independent,U.S. Senate,,1438
Wayne,Josh Mandel,Republican,U.S. Senate,,28138
Wayne,Sherrod Brown,Democratic,U.S. Senate,,19072
Wayne,Scott Rupert,Independent,U.S. Senate,,2906
Williams,Josh Mandel,Republican,U.S. Senate,,9294
Williams,Sherrod Brown,Democratic,U.S. Senate,,6640
Williams,Scott Rupert,Independent,U.S. Senate,,1177
Wood,Sherrod Brown,Democratic,U.S. Senate,,31633
Wood,Josh Mandel,Republican,U.S. Senate,,27905
Wood,Scott Rupert,Independent,U.S. Senate,,2985
Wyandot,Josh Mandel,Republican,U.S. Senate,,6074
Wyandot,Sherrod Brown,Democratic,U.S. Senate,,3728
Wyandot,Scott Rupert,Independent,U.S. Senate,,627
